Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
18.0,2017,164.0,60.0,2252.0,2.0,1.0,11.0,2.0,5.0,6.9,83147,311.0,14.0,1.0,1.0,4,5,17888.0
47.0,2015,290.0,159.0,1058.0,2.0,1.0,7.0,2.0,4.0,9.3,204000,272.0,70.0,1.0,6.0,4,5,18995.0
29.0,2013,32.0,127.0,1422.0,2.0,1.0,16.0,2.0,5.0,7.2,122077,229.0,177.0,1.0,3.0,4,5,16857.0
23.0,2015,270.0,145.0,3370.0,2.0,1.0,5.0,2.0,5.0,6.1,60581,101.0,105.0,1.0,4.0,4,5,22990.0
24.0,2012,245.0,145.0,1666.0,2.0,1.0,11.0,1.0,1.0,9.4,254121,311.0,276.0,1.0,4.0,4,5,21990.0
32.0,2022,84.0,159.0,2389.0,2.0,2.0,11.0,1.0,4.0,7.3,15087,15.0,327.0,1.0,6.0,4,5,39990.0
9.0,2013,237.0,154.0,1091.0,2.0,1.0,24.0,0.0,1.0,10.5,159056,338.0,105.0,2.0,5.0,4,5,21990.0
33.0,2017,283.0,154.0,2408.0,2.0,2.0,15.0,0.0,1.0,6.8,97295,234.0,389.0,1.0,5.0,4,5,31990.0
5.0,2015,64.0,145.0,1572.0,2.0,1.0,7.0,2.0,1.0,7.4,83095,9.0,406.0,1.0,4.0,4,5,26990.0
43.0,2017,127.0,145.0,302.0,2.0,2.0,16.0,1.0,5.0,7.7,192988,15.0,306.0,1.0,4.0,4,5,28999.0
16.0,2016,90.0,145.0,1891.0,2.0,1.0,6.0,2.0,5.0,10.4,39967,15.0,389.0,1.0,4.0,4,5,34800.0
30.0,2020,62.0,127.0,971.0,2.0,1.0,9.0,3.0,4.0,7.9,38341,9.0,177.0,1.0,3.0,4,5,28984.0
43.0,2020,127.0,145.0,2759.0,2.0,1.0,16.0,1.0,5.0,8.3,7528,71.0,389.0,1.0,4.0,4,5,32990.0
9.0,2018,126.0,127.0,254.0,2.0,1.0,11.0,2.0,5.0,5.8,94385,199.0,271.0,1.0,3.0,4,5,19999.0
18.0,2018,164.0,60.0,2252.0,2.0,1.0,11.0,2.0,5.0,5.6,110047,311.0,14.0,1.0,1.0,4,5,29990.0
18.0,2015,164.0,60.0,1905.0,2.0,1.0,7.0,2.0,1.0,7.1,123624,311.0,316.0,1.0,1.0,4,5,14995.0
15.0,2014,85.0,154.0,1872.0,2.0,1.0,18.0,3.0,1.0,9.7,155620,338.0,86.0,1.0,5.0,4,5,27990.0
9.0,2016,237.0,154.0,1587.0,2.0,1.0,24.0,0.0,1.0,7.9,39397,174.0,161.0,2.0,5.0,4,5,23950.0
2.0,2020,307.0,145.0,330.0,2.0,1.0,31.0,0.0,1.0,7.4,54368,264.0,397.0,3.0,4.0,4,5,26990.0
18.0,2013,164.0,60.0,2595.0,2.0,1.0,11.0,2.0,5.0,7.8,89140,264.0,316.0,1.0,1.0,4,5,17900.0
43.0,2019,168.0,127.0,7.0,2.0,2.0,11.0,1.0,4.0,7.4,44879,272.0,276.0,1.0,3.0,4,5,26990.0
46.0,2016,277.0,145.0,1051.0,2.0,1.0,11.0,1.0,4.0,9.2,110909,199.0,269.0,1.0,4.0,4,5,34913.0
30.0,2020,65.0,127.0,2005.0,2.0,1.0,31.0,1.0,4.0,10.2,19372,170.0,177.0,3.0,3.0,4,5,55888.0
2.0,2015,302.0,145.0,535.0,2.0,1.0,11.0,3.0,1.0,8.5,155198,272.0,21.0,1.0,4.0,4,5,24950.0
18.0,2018,164.0,60.0,2254.0,2.0,1.0,11.0,2.0,5.0,7.3,66805,9.0,311.0,1.0,1.0,4,5,33898.0
45.0,2011,88.0,127.0,520.0,2.0,1.0,9.0,2.0,5.0,8.2,227646,294.0,446.0,1.0,3.0,4,5,8913.0
23.0,2013,265.0,145.0,2303.0,2.0,1.0,11.0,1.0,1.0,9.5,237426,311.0,339.0,1.0,4.0,4,5,15995.0
18.0,2016,284.0,145.0,2609.0,2.0,1.0,11.0,2.0,5.0,6.0,35612,9.0,503.0,1.0,4.0,4,5,24888.0
15.0,2018,296.0,127.0,263.0,2.0,1.0,9.0,2.0,5.0,7.1,83494,9.0,306.0,1.0,3.0,4,5,27950.0
31.0,2013,316.0,1.0,3595.0,1.0,1.0,6.0,2.0,0.0,8.8,126408,257.0,56.0,1.0,4.0,4,5,19999.0
18.0,2020,164.0,60.0,2252.0,2.0,1.0,11.0,2.0,5.0,8.1,26227,338.0,316.0,1.0,1.0,4,5,69800.0
16.0,2017,90.0,145.0,2243.0,2.0,1.0,6.0,2.0,5.0,6.6,101821,251.0,272.0,1.0,4.0,4,5,20995.0
45.0,2014,161.0,154.0,121.0,2.0,2.0,17.0,3.0,5.0,8.1,221872,311.0,173.0,1.0,5.0,4,5,14413.0
30.0,2015,146.0,145.0,2701.0,2.0,1.0,31.0,1.0,4.0,6.7,90691,157.0,192.0,3.0,4.0,4,5,14776.0
45.0,2018,69.0,127.0,229.0,2.0,1.0,15.0,2.0,5.0,7.0,24305,264.0,306.0,1.0,3.0,4,5,29990.0
